Question,Answer
What is the procedure for issuing a duplicate debit card?,"Customers must visit the branch or apply online through the bank’s portal. A request form must be submitted along with identity verification documents. A replacement fee may apply, and the new card is usually issued within 3-7 working days."
How does the bank verify large cash deposits?,"Large cash deposits require customers to provide valid identification and state the source of funds. The bank follows AML policies, reporting high-value transactions to the regulatory authority if necessary."
What are the eligibility criteria for opening a fixed deposit account?,Customers must be at least 18 years old and provide identity and address proof. Businesses and institutions must submit registration documents. A minimum deposit amount varies based on the bank’s policy.
How does the bank handle lost or stolen cheques?,Customers must immediately report lost or stolen cheques to their branch. The bank may place a stop payment order on the cheque number and require a written confirmation from the account holder.
What are the penalties for premature withdrawal of fixed deposits?,"Premature withdrawals may incur a penalty, typically involving a reduced interest rate. Some banks charge an early withdrawal fee or may waive penalties in exceptional cases."
How can customers apply for an increase in their credit card limit?,Customers must submit an application with updated income proof and a good credit history. The bank evaluates financial standing and repayment behavior before approving the request.
What is the process for disputing an incorrect transaction?,"Customers should report the issue to the bank within a stipulated time, providing transaction details. The bank investigates and, if necessary, refunds the amount if the dispute is valid."
How are home loan interest rates determined?,"Interest rates are based on the base rate set by the central bank, the borrower’s credit profile, loan tenure, and market conditions. Fixed and floating interest rate options are available."
What is the bank’s policy on dormant accounts?,"Accounts with no activity for more than a specified period (usually one year for savings, two years for current accounts) are marked dormant. Customers must reactivate dormant accounts by submitting KYC documents and a reactivation request."
How does the bank protect customer data?,"Customer data protection measures include encryption, multi-factor authentication, restricted employee access, regular security audits, and compliance with national data privacy regulations."
What is the procedure for updating a nominee in a bank account,Account holders must submit a nominee update form along with valid identification and proof of relationship. The bank updates the nominee details after verification.
How does the bank handle loan default cases?,"In case of loan default, the bank issues reminders and negotiates repayment plans. If unresolved, legal actions may be taken, including collateral seizure or reporting to credit bureaus."
What are the requirements for opening a joint account?,"All account holders must provide identity and address proof, submit a joint account application form, and specify the mode of operation (either or survivor, jointly operated, etc.)."
What is the procedure for claiming insurance on a loan?,"Loan insurance claims require submission of policy details, claim forms, and supporting documents such as medical reports (for health-related claims) or death certificates (for life insurance claims)."
How can customers check their credit score?,"Customers can check their credit score through credit bureaus, online banking portals (if supported), or by requesting a report from the bank’s credit department."
What happens if a cheque is returned due to insufficient funds?,"The cheque is marked as dishonored, and the account holder may face penalties. Repeated cheque bounces can lead to account restrictions or legal consequences."
How are interest rates for savings accounts calculated?,"Interest is calculated on the daily balance and credited monthly or quarterly, depending on the bank’s policy. Rates vary based on account type and market conditions."
What is the bank’s policy on foreign currency transactions?,"Foreign currency transactions must comply with central bank regulations. Customers may need to provide a purpose declaration, and exchange rates are subject to daily fluctuations."
What steps should customers take if their ATM card is swallowed by an ATM?,"Customers should immediately report the incident to the bank’s customer service. The card can be retrieved from the issuing branch, or a replacement may be issued upon request."
How does the bank assist customers with loan restructuring?,Customers facing financial difficulties can request loan restructuring by submitting an application. The bank evaluates the request based on repayment capacity and offers revised loan terms if applicable.
What is the eligibility criteria for applying for a housing loan as a bank employee in Nepal?,"Employees must have completed at least two years of service, have a stable income, and maintain a good credit history. Loan approval is subject to bank policy and repayment capacity."
What are the tax benefits available for salaried bank employees in Nepal?,"Employees are eligible for tax deductions on provident fund contributions, life insurance premiums, and housing loan interest, as per Nepal’s tax regulations."
"How can bank employees apply for a car loan, and what are the interest rates?","Employees need to submit a loan application, proof of employment, and salary details. Interest rates vary based on tenure and loan amount, with special rates available for staff."
What is the policy for maternity and paternity leave for bank employees in Nepal?,"Maternity leave is generally 98 days, with full pay for the first 60 days. Paternity leave is typically 15 days, depending on the bank’s policy."
How are employee provident fund contributions managed in Nepali banks?,"Banks deduct a portion of employees' salaries and contribute an equivalent amount to the Employees' Provident Fund (EPF), which earns interest and can be withdrawn upon retirement or resignation."
What is the standard working hour policy for bank employees in Nepal?,"Most banks operate from 10:00 AM to 4:00 PM, Sunday to Thursday, and until 3:00 PM on Fridays. Employees may have extended hours based on job roles."
What is the policy on overtime compensation for bank employees?,"Overtime is compensated either through additional pay or compensatory leave, depending on the employee’s level and bank policy."
How can employees request departmental transfers?,"Employees must submit a transfer request to HR, which is reviewed based on performance, departmental needs, and service duration in the current department."
What is the procedure for resigning from a bank job in Nepal?,"Employees must submit a formal resignation letter with a minimum notice period, usually 30 days, as per the bank’s employment contract."
How does the bank handle employee grievances?,Employees can report grievances through HR or an internal grievance redressal system. The bank ensures confidentiality and fair resolution through an official review process.
What insurance benefits do bank employees receive?,"Most banks provide health, accidental, and life insurance coverage for employees, with options for family coverage in some cases."
How are annual performance appraisals conducted?,"Performance appraisals include goal setting, self-assessment, supervisor evaluation, customer feedback, and overall contribution to the bank’s performance."
What is the bank's policy on study leave for employees?,"Employees can apply for study leave for higher education related to banking and finance. Approval is based on service tenure, performance, and bank requirements."
What is the process for claiming medical reimbursements?,"Employees must submit medical bills and reports to HR, which processes the claim based on the bank’s medical reimbursement policy."
How does the bank support employee retirement planning?,"Banks provide retirement benefits such as provident fund contributions, gratuity, pension plans, and financial counseling for post-retirement planning."
What are the ethical guidelines for bank employees?,"Employees must maintain integrity, confidentiality, and professionalism, avoid conflicts of interest, and comply with banking regulations set by Nepal Rastra Bank (NRB)."
How can employees report workplace safety concerns?,"Employees can report safety issues to the HR department or internal compliance team, ensuring immediate investigation and resolution."
What is the procedure for requesting paid leave?,"Employees must submit a leave application through the HR portal or manager approval, based on leave balance and operational requirements."
How does the bank support career growth and promotions?,"Career progression is based on performance evaluations, leadership potential, experience, training participation, and successful completion of internal exams."
How are customer complaints handled by employees?,"Employees must document complaints, investigate the issue, provide resolution within the given timeframe, and escalate unresolved cases to the grievance redressal unit."
What cybersecurity measures must employees follow?,"Employees must use strong passwords, enable multi-factor authentication, avoid sharing login credentials, report suspicious activities, and comply with NRB cybersecurity guidelines."
What is the process for applying for internal training programs?,"Employees must apply through the HR portal or nomination process. Selection is based on performance, skill needs, and alignment with organizational goals."
How does the bank handle employee misconduct?,"Misconduct cases are investigated by HR, and disciplinary action is taken based on severity, including warnings, suspensions, or termination if necessary."
What is the bank's dress code policy?,"Most banks require formal attire for customer-facing roles, with specific guidelines on professional appearance and grooming standards."
How are travel expenses reimbursed for official trips?,"Employees must submit expense reports with original receipts, ensuring compliance with travel policies and pre-approved budgets."
What are the key compliance requirements for bank employees?,"Employees must adhere to anti-money laundering (AML) rules, KYC policies, transaction monitoring guidelines, and ethical banking practices."
What is the policy on employee referrals for new hires?,Employees can refer candidates for open positions. Successful referrals may qualify for bonuses if the referred candidate meets bank requirements.
How can employees access mental health support?,"Banks may offer confidential counseling services, stress management programs, and mental health awareness workshops as part of employee wellness programs."
What is the process for employees to update their personal information with HR?,"Employees must submit a formal request with updated documents, such as citizenship proof, marriage certificates, or address changes."
What are the penalties for policy violations in the bank?,"Penalties vary based on severity and may include warnings, fines, suspension, or termination, following a fair investigation process."
How does the bank encourage work-life balance?,"Banks offer flexible work arrangements, wellness initiatives, leave benefits, and family support programs to maintain work-life balance."
What is the eligibility for employee loans at lower interest rates?,"Employees may qualify for special loan rates based on tenure, job position, and salary level, with repayment terms structured for affordability."
How can employees contribute to corporate social responsibility (CSR) initiatives?,"Employees can participate in bank-organized CSR activities such as financial literacy programs, environmental initiatives, and community development projects."
What is the process for reporting fraud within the bank?,"Employees must report suspected fraud to the compliance department via secure channels, ensuring confidentiality and whistleblower protection."
How does the bank handle workplace discrimination complaints?,"Complaints are reviewed confidentially by HR, with strict policies against discrimination based on gender, ethnicity, disability, or other factors."
How are foreign exchange transactions monitored for compliance?,"Employees must ensure transactions comply with NRB regulations, maintain proper documentation, and report any suspicious foreign exchange activity."
How does the bank handle employee performance improvement plans?,"HR and managers create structured improvement plans for underperforming employees, including goal-setting, mentorship, and regular progress reviews."
What is the bank’s policy on accepting gifts from customers?,Employees must follow ethical guidelines restricting acceptance of gifts or favors that could influence professional decisions.
How does the bank handle whistleblower protection?,"Employees who report wrongdoing are protected from retaliation, and their identity remains confidential throughout the investigation process."
How are customer financial counseling sessions conducted?,"Employees must assess customer needs, provide unbiased financial advice, and recommend suitable banking products following regulatory guidelines."
What is the policy for employee attendance tracking?,"Banks use biometric systems, digital attendance logs, or manual registers to track employee work hours and ensure compliance with working hour policies."
How does the bank handle succession planning?,"Succession planning involves identifying high-potential employees, providing leadership training, and preparing them for future managerial roles."
How are corporate banking relationship managers trained?,"Relationship managers undergo specialized training in financial analysis, risk management, client relationship handling, and regulatory compliance."
How does the bank support women’s empowerment in the workplace?,"Banks implement gender-inclusive policies, leadership programs for women, equal pay initiatives, and safe workplace measures."
What are the key regulatory changes that employees need to stay updated on?,"Employees must stay informed about NRB circulars, compliance updates, taxation laws, digital banking trends, and financial crime regulations."
What is the procedure for requesting a salary advance?,"Employees can apply for a salary advance through the HR portal, providing justification for the request. Approval depends on tenure, financial need, and management discretion."
How can employees update their personal information in HR records?,"Employees must submit an official request along with supporting documents, such as a new address proof or updated identification, through the HR department or employee self-service portal."
What is the bank’s policy on overtime pay?,Overtime pay is granted based on job role and approval from the department head. Eligible employees receive additional compensation per bank policy and labor law guidelines.
How can employees request a change in their work schedule?,"Work schedule changes require submission of a formal request to the department head, who evaluates operational needs and employee justification before approval."
What is the dress code policy for employees?,"Employees must adhere to formal business attire on working days. Casual dress may be allowed on specific days, depending on departmental guidelines and managerial approval."
How are employees notified about internal job openings?,"Internal job openings are posted on the HR portal, and employees receive email notifications. Interested employees must apply through the designated internal job application process."
What benefits do employees receive as part of the health insurance plan?,"The bank’s health insurance covers hospitalization, outpatient treatment, maternity benefits, dental care, and specialist consultations, depending on the employee’s insurance plan level."
What is the process for resigning from the bank?,"Employees must submit a formal resignation letter with the required notice period. The exit process includes clearance from all departments, final settlement processing, and an exit interview with HR."
How are annual salary increments determined?,"Salary increments are based on performance reviews, market benchmarks, inflation rates, and overall bank profitability. High-performing employees may receive additional merit-based increases."
What is the bank’s policy on employee referrals?,"Employees can refer candidates through the referral program. If the referred candidate is hired and completes the probation period, the referring employee may receive a bonus as per policy."
How does the bank handle workplace conflicts between employees?,"Conflicts are addressed through mediation by HR and department heads. Employees are encouraged to resolve issues professionally, and formal grievance mechanisms are available if needed."
Can employees take unpaid leave?,"Unpaid leave is granted under special circumstances, subject to managerial approval. Employees must exhaust available paid leave options before requesting unpaid leave."
What is the policy for work-related travel allowances?,"Travel allowances cover transportation, lodging, and per diem expenses based on job grade and destination. Employees must submit an expense claim with receipts for reimbursement."
How are employees recognized for outstanding performance?,"Top-performing employees receive awards, bonuses, public recognition, career growth opportunities, and priority for leadership training programs."
What is the procedure for taking maternity or paternity leave?,"Employees must submit a leave request with medical documentation (for maternity leave). Maternity leave is granted per labor laws, and paternity leave is provided as per the bank’s policy."
How does the bank ensure workplace safety?,"The bank follows occupational safety regulations, conducts regular fire drills, ensures secure premises, and provides workplace ergonomics training to employees."
What are the policies regarding gifts from customers?,"Employees must adhere to the bank’s ethics policy, which restricts accepting valuable gifts from customers. Any gifts received must be disclosed to HR or compliance for review."
What is the policy on second jobs or freelancing?,Employees are generally not allowed to engage in outside employment or freelancing that conflicts with bank duties. Approval from management is required for exceptions.
How can employees report technical issues with banking software?,Employees must log IT support tickets through the internal helpdesk portal. Critical issues should be reported immediately to the IT department for prompt resolution.
What is the process for requesting additional training?,"Employees can request training by submitting an application through the HR portal. Approval is based on job relevance, budget availability, and management discretion."
How does the bank handle confidential employee complaints?,"HR maintains strict confidentiality for all complaints. Employees can submit grievances anonymously if preferred, and investigations are conducted with impartiality."
What is the bank’s policy on employee retirement age?,The standard retirement age is as per national labor laws. Employees may be offered post-retirement consultancy roles based on expertise and organizational needs.
How does the bank support career development?,"The bank provides mentorship programs, job rotations, leadership training, skill enhancement workshops, and sponsorship for professional certifications."
What happens if an employee forgets their access credentials?,"Employees must reset their passwords via the IT helpdesk or self-service portal. For security reasons, identity verification is required before granting access."
Can employees apply for loans from the bank?,"Yes, employees can apply for special staff loans with preferential interest rates. Eligibility depends on job tenure, salary level, and repayment capacity."
What is the process for employees transferring to another department?,"Employees must submit a transfer request, which is reviewed by HR and department heads. Transfers depend on skill alignment, vacancy availability, and performance."
How does the bank handle cases of employee fraud?,"Fraud cases are investigated by the compliance team. If found guilty, employees may face disciplinary action, including termination and legal consequences."
What is the dress code for bank events and conferences?,Employees must wear formal or business attire for official events and conferences. Specific dress guidelines may be issued based on the nature of the event.
How does the bank support employees with disabilities?,"The bank ensures an inclusive work environment, provides necessary accommodations, and follows accessibility guidelines as per labor laws."
What is the policy on social media usage during work hours?,Employees must avoid excessive personal social media use during work hours. Any work-related social media engagement must comply with bank guidelines.
